rank,source,current_mpn,quantity_per_prototype,current_group_cost_usd,market_result,best_mass_market_route,availability,functional_delta,paper_saving_usd,verdict,current_source,candidate_source,checked_on,decision_on
1,external_antenna,SMA-W100RX2,1,35.95,premium_stocked_receive_accessory,Opek SCANSMA 25-1300,in stock at Ham Radio Outlet; USD 15.95,"same stated 25-1300-MHz receive range, but it is a remote magnetic-mount antenna with 12-ft RG-174 rather than a direct telescopic whip",20.0,retain_user_decision_candidate_rejected,https://www.comet-ant.co.jp/product/638/,https://www.hamradio.com/detail.cfm?pid=H0-016713,2026-08-29,2026-08-30
2,external_antenna,001-0012,2,33.82,stocked_but_overqualified_for_s3,split the group: TE 001-0001 for S3 2.4 GHz; Taoglas GW.05.0153 for C5 2.4/5 GHz,"001-0001: 2,656 Mouser stock; GW.05.0153: distributor stock and serial order route","S3 does not use 5 GHz, so its dual-band/IP67 capability is unused; C5 candidate begins at 5150 rather than 4910 MHz and both substitutions require assembled-device matching/EIRP closure",19.3,retain_user_decision_candidate_rejected,https://www.te.com/en/product-001-0012.html,https://www.taoglas.com/datasheets/GW.05.0153.pdf,2026-08-29,2026-08-30
3,external_antenna,AN0155H13,1,31.7,premium_stocked_radio_accessory,Powerwerx ANT-8,in stock; USD 7.77,"covers 136-174 and 400-470 MHz with standard SMA, but its public page does not close gain, VSWR, power or exact mechanical seating; it may cover both voice ports only after VNA and voice-TX HIL",23.93,retain_user_decision_candidate_rejected,https://www.hytera.com/en/product-new/accessories/radio-antennas/an0155h13.html,https://powerwerx.com/vhf-uhf-dual-band-standard-sma-antenna,2026-08-29,2026-08-30
4,external_antenna,ANT-433-CW-QW-SMA,2,22.46,mass_market_stocked_and_wideband,Ebyte TX433-JZR-6 for UHF plus TX433-JK-11 for the narrow 433-MHz port,both serial Ebyte parts available from stocked distributors; TX433-JZR-6 observed at USD 1.72,"UHF candidate preserves 400-480 MHz, 10 W and improves stated VSWR but nominal gain falls 3.3 to 3.0 dBi; the 433 candidate is narrow-band and both need VNA/EIRP HIL",19.57,retain_user_decision_candidate_rejected,https://www.te.com/en/product-ANT-433-CW-QW-SMA.html,https://www.ebyte.com/product/824.html,2026-08-29,2026-08-30
5,base_bom,GCT RFPC-SMA31-FN-175-A,8,19.71648,mass_market_stocked_exact_mechanical_solution,retain current GCT standard-SMA body,638 immediate DigiKey stock; quantity-one and volume order routes,cheaper board-normal bodies have the wrong orientation; the checked through-hole pair collides with the accepted 5+5 mechanics and has no exact-one factory route,0.0,retain_no_no_worse_drop_in,https://www.digikey.com/en/products/detail/gct/RFPC-SMA31-FN-175-A/17833784,https://jlcpcb.com/partdetail/DreamLNK-SMAKWE902/C914554,2026-08-29,
6,base_bom,EastRising ER-TFT035IPS-6 + ER-TPC035-6,1,14.91,serial_quantity_one_documented_display,retain the documented EastRising panel and touch pair,direct serial quantity-one route; USD 14.91,"cheaper generic 3.5-inch listings do not preserve the controlled FPC, i8080-8 pin map, ILI9488/FT6236 identity and factory-installable mechanical package",0.0,retain_already_value_optimized,https://www.buydisplay.com/3-5-inch-tft-lcd-display-capacitive-touch-screen-ips-320x480,https://www.buydisplay.com/download/manual/ER-TFT035IPS-6_Datasheet.pdf,2026-08-29,
7,base_bom,Analog Devices AD8314ARMZ-REEL,6,11.6388,explicit_factory_preorder_not_live_stock,retain accepted C652687 MSOP route,"JLCPCB overseas 2,978 / pre-order 2,977; MOQ 4; six required",cheaper detector families do not preserve the calibrated frequency/input/current contract and would require RF-chain redesign; the former LFCSP package already cost more,0.0,retain_no_stocked_no_worse_equivalent,https://jlcpcb.com/partdetail/AnalogDevices-AD8314ARMZREEL/C652687,https://www.analog.com/media/en/technical-documentation/data-sheets/ad8314.pdf,2026-08-29,
8,base_bom,OMRON B3S-1100P,16,10.248,mass_market_authorized_stock_jlc_preorder,retain B3S-1100P; source by JLC pre-order/consignment if necessary,"33,662 DigiKey stock; JLCPCB C2733652 pre-order",B3S-1000P and cheap tact switches lose the grounded cover or exact force/life contract at the directly touched boundary,0.0,retain_no_no_worse_control_found,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3S-1100P/60835,https://jlcpcb.com/partdetail/OmronElectronicComponents-B3S1100P/C2733652,2026-08-29,
9,base_bom,G-NiceRF SA818S-V,1,10.071,exact_factory_preorder_only,retain exact SA818S-V C51897911,JLCPCB pre-order MOQ 1; factory support states typical 8-15 working days,"no stocked pin-compatible module was found that preserves the VHF band, UART protocol, audio/PTT contacts, current and physical envelope; generic assembly aliases are not exact availability",0.0,retain_preorder_as_only_exact_route,https://jlcpcb.com/partdetail/GNiceRF-SA818SV/C51897911,https://www.nicerf.com/walkie-talkie-module-sa818s.html,2026-08-29,
10,base_bom,G-NiceRF SA818S-U,1,9.7347,exact_factory_stocked,retain SA818S-U C3001549,live JLCPCB stock route; MOQ 1,SA818S-CE stops at 470 rather than the selected 480 MHz and has negligible saving; SA868-U costs more and draws more current,0.0,retain_current_is_best_fit,https://jlcpcb.com/partdetail/GNiceRF-SA818SU/C3001549,https://www.nicerf.com/walkie-talkie-module-sa818s.html,2026-08-29,
